Year,Category,Nominee,Won?
2009,Best Foreign Language Film,Everlasting Moments from The Country of Denmark | The Country of Sweden,no
2009,Best Foreign Language Film,"Gomorrah from Italy, The Country of",no
2009,Best Foreign Language Film,"I've Loved You So Long from France, The Country of",no
2009,Best Foreign Language Film,"Waltz With Bashir from Israel, The Country of",yes
2009,Best Director - Motion Picture,"Boyle, Danny for Slumdog Millionaire",yes
2009,Best Director - Motion Picture,"Daldry, Stephen for Reader, The",no
2009,Best Director - Motion Picture,"Fincher, David for Curious Case Of Benjamin Button, The",no
2009,Best Director - Motion Picture,"Howard, Ron for Frost/Nixon",no
2009,Best Director - Motion Picture,"Mendes, Sam for Revolutionary Road",no
2009,Best Screenplay - Motion Picture,"Curious Case Of Benjamin Button, The by Roth, Eric",no
2009,Best Screenplay - Motion Picture,"Doubt by Shanley, John Patrick",no
2009,Best Screenplay - Motion Picture,"Frost/Nixon by Morgan, Peter",no
2009,Best Screenplay - Motion Picture,"Reader, The by Hare, David",no
2009,Best Screenplay - Motion Picture,"Slumdog Millionaire by Beaufoy, Simon",yes
2009,Best Original Score - Motion Picture,"Curious Case Of Benjamin Button, TheComposed by Desplat, Alexandre",no
2009,Best Original Score - Motion Picture,"ChangelingComposed by Eastwood, Clint",no
2009,Best Original Score - Motion Picture,"DefianceComposed by Howard, James Newton",no
2009,Best Original Score - Motion Picture,"Slumdog MillionaireComposed by Rahman, A. R.",yes
